iter	MultiClass
0	2.467629397
1	1.765148935
2	1.662701331
3	1.580474323
4	1.518391288
5	1.461545981
6	1.371618856
7	1.26412882
8	1.195698989
9	1.145168301
10	1.105016419
11	1.074106265
12	1.047292001
13	1.021403906
14	0.9980676272
15	0.9731568896
16	0.9539903659
17	0.93420153
18	0.9181557082
19	0.9029725282
20	0.8902228141
21	0.8768556432
22	0.866252695
23	0.8557914929
24	0.8459261909
25	0.8359510504
26	0.828199892
27	0.8211341948
28	0.8135245194
29	0.8060567659
30	0.7992179016
31	0.7931947213
32	0.7848986758
33	0.7806613639
34	0.7777685098
35	0.7719783028
36	0.7694561036
37	0.7648522556
38	0.7608059943
39	0.7555678738
40	0.751445258
41	0.7480840311
42	0.7444809489
43	0.7411983029
44	0.7374617098
45	0.7345258367
46	0.731872523
47	0.729384838
48	0.7273061261
49	0.7256261736
50	0.7226614189
51	0.7202203699
52	0.7186142959
53	0.7170063253
54	0.7153370012
55	0.7133716737
56	0.7111456472
57	0.7102997686
58	0.7090173401
59	0.7074127033
60	0.705911353
61	0.704060904
62	0.7027994981
63	0.6999371986
64	0.6991521657
65	0.6969673491
66	0.6962216272
67	0.6943931892
68	0.692173895
69	0.6907382253
70	0.6894747167
71	0.6880253461
72	0.6864999875
73	0.6854253844
74	0.6842793691
75	0.6832499004
76	0.6822023083
77	0.6812520265
78	0.6799760183
79	0.6788218837
80	0.6773099767
81	0.6762871087
82	0.6752375066
83	0.6736777323
84	0.6725424154
85	0.6716038706
86	0.6704926712
87	0.6696186948
88	0.6688123228
89	0.6680516342
90	0.6674617341
