iter	Passed	Remaining
0	22	11245
1	28	7036
2	35	5869
3	42	5303
4	51	5145
5	67	5528
6	76	5403
7	86	5321
8	92	5026
9	97	4790
10	104	4631
11	108	4404
12	112	4226
13	117	4070
14	122	3955
15	127	3865
16	133	3780
17	138	3706
18	143	3639
19	148	3567
20	153	3491
21	157	3413
22	160	3338
23	165	3283
24	169	3220
25	173	3167
26	177	3115
27	182	3069
28	186	3021
29	190	2977
30	193	2933
31	198	2899
32	203	2876
33	207	2843
34	211	2809
35	216	2784
36	220	2757
37	224	2732
38	228	2703
39	235	2705
40	239	2679
41	243	2655
42	247	2632
43	251	2606
44	255	2583
45	259	2564
46	264	2549
47	268	2525
48	272	2512
49	277	2499
50	281	2481
51	285	2463
52	291	2457
53	296	2444
54	300	2428
55	304	2416
56	308	2400
57	313	2390
58	318	2380
59	322	2367
60	326	2350
61	330	2337
62	334	2323
63	339	2310
64	343	2297
65	347	2285
66	351	2272
67	355	2260
68	359	2247
69	364	2236
70	368	2224
71	372	2216
72	376	2203
73	381	2193
74	385	2183
75	390	2177
76	397	2181
77	401	2171
78	405	2161
79	410	2153
80	415	2147
81	419	2137
82	423	2126
83	427	2117
84	431	2108
85	436	2099
86	440	2092
87	448	2097
88	452	2087
89	456	2079
90	460	2069
91	464	2060
92	468	2051
93	472	2041
94	476	2033
95	481	2024
96	485	2017
97	489	2008
98	493	2000
99	497	1991
100	502	1983
101	506	1975
102	510	1967
103	515	1962
104	519	1955
105	524	1948
106	528	1940
107	532	1933
108	537	1927
109	542	1922
110	546	1916
111	551	1910
112	555	1903
113	560	1896
114	565	1893
115	569	1886
116	573	1878
117	577	1870
118	582	1866
119	587	1859
120	591	1853
121	596	1848
122	601	1843
123	605	1835
124	609	1828
125	614	1824
126	619	1819
127	623	1813
128	629	1809
129	633	1804
130	638	1797
131	642	1791
132	647	1786
133	651	1779
134	655	1773
135	660	1766
136	665	1763
137	669	1755
138	673	1749
139	678	1743
140	682	1738
141	687	1732
142	692	1727
143	697	1723
144	701	1717
145	706	1712
146	710	1705
147	715	1701
148	719	1695
149	724	1689
150	729	1685
151	734	1681
152	738	1675
153	743	1669
154	748	1665
155	752	1659
156	756	1653
157	761	1649
158	767	1645
159	771	1638
160	775	1633
161	780	1629
162	785	1623
163	789	1617
164	794	1612
165	799	1607
166	803	1601
167	807	1596
168	813	1592
169	817	1586
170	822	1582
171	826	1576
172	831	1572
173	835	1566
174	840	1560
175	845	1556
176	849	1550
177	854	1544
178	858	1539
179	863	1535
180	867	1529
181	872	1523
182	876	1518
183	880	1512
184	884	1506
185	889	1500
186	894	1496
187	898	1491
188	902	1485
189	907	1479
190	912	1475
191	916	1470
192	920	1464
193	924	1458
194	929	1454
195	933	1448
196	938	1442
197	942	1437
198	947	1433
199	951	1427
200	956	1422
201	961	1418
202	965	1413
203	970	1407
204	974	1402
205	979	1397
206	983	1392
207	987	1386
208	991	1381
209	995	1375
210	1000	1370
211	1004	1364
212	1009	1359
213	1013	1354
214	1017	1348
215	1021	1343
216	1026	1338
217	1031	1333
218	1035	1328
219	1039	1322
220	1044	1318
221	1049	1313
222	1053	1308
223	1058	1303
224	1063	1299
225	1068	1295
226	1075	1292
227	1081	1289
228	1086	1285
229	1092	1282
230	1097	1278
231	1103	1274
232	1109	1271
233	1115	1267
234	1120	1263
235	1125	1258
236	1130	1254
237	1135	1250
238	1141	1246
239	1150	1246
240	1157	1244
241	1165	1243
242	1172	1240
243	1179	1237
244	1186	1234
245	1192	1231
246	1198	1227
247	1204	1223
248	1210	1219
249	1215	1215
250	1220	1210
251	1226	1206
252	1231	1202
253	1236	1197
254	1242	1193
255	1247	1189
256	1252	1184
257	1258	1180
258	1263	1175
259	1268	1171
260	1274	1167
261	1279	1162
262	1284	1157
263	1290	1153
264	1295	1148
265	1300	1144
266	1305	1139
267	1311	1135
268	1317	1130
269	1322	1126
270	1328	1122
271	1333	1117
272	1338	1112
273	1343	1108
274	1349	1103
275	1354	1099
276	1359	1094
277	1365	1090
278	1370	1085
279	1375	1080
280	1380	1076
281	1385	1071
282	1390	1066
283	1396	1062
284	1402	1057
285	1407	1053
286	1413	1048
287	1418	1044
288	1423	1039
289	1429	1035
290	1434	1030
291	1440	1025
292	1445	1021
293	1450	1016
294	1456	1012
295	1462	1007
296	1467	1003
297	1472	998
298	1477	993
299	1483	988
300	1488	984
301	1494	979
302	1499	974
303	1505	970
304	1509	965
305	1513	959
306	1517	953
307	1521	948
308	1525	943
309	1529	937
310	1534	932
311	1538	927
312	1542	921
313	1546	916
314	1550	910
315	1555	905
316	1559	900
317	1563	894
318	1567	889
319	1571	884
320	1575	878
321	1579	873
