BracketEntryId,SemifinalWinner_East_West,SemifinalWinner_South_Midwest,NationalChampion
2074118,North Carolina,Houston,North Carolina
2692634,UConn,Kansas,UConn
1252684,Iowa St.,Kentucky,Iowa St.
1950205,UConn,Houston,UConn
2756293,UConn,Marquette,UConn
2992270,UConn,Purdue,UConn
176849,UConn,Houston,UConn
2091692,UConn,Tennessee,UConn
3439520,Arizona,Kentucky,Arizona
3159948,Arizona,Marquette,Arizona
1035660,North Carolina,Marquette,North Carolina
936060,UConn,Purdue,UConn
3352756,UConn,Purdue,UConn
3079936,Arizona,Houston,Arizona
312612,Arizona,Kentucky,Arizona
634043,UConn,Duke,UConn
2981448,UConn,Houston,UConn
1153416,UConn,Duke,UConn
1654279,UConn,Purdue,UConn
471681,UConn,Houston,UConn
2328757,UConn,Kentucky,UConn
2023845,UConn,Purdue,UConn
2712288,UConn,Purdue,UConn
992473,Illinois,Houston,Houston
621557,Illinois,Kentucky,Kentucky
3572274,UConn,Houston,UConn
2723318,Arizona,Kentucky,Arizona
2485183,UConn,Duke,UConn
1166461,UConn,Purdue,UConn
3682843,North Carolina,Houston,Houston
3417170,Arizona,Houston,Houston
2893666,UConn,Purdue,UConn
2373553,UConn,Houston,UConn
832405,Arizona,McNeese,Arizona
2815346,Iowa St.,Tennessee,Iowa St.
2337716,Arizona,Houston,Houston
2642698,Illinois,Houston,Houston
2092191,UConn,Kentucky,UConn
1312796,Iowa St.,Purdue,Purdue
2445282,North Carolina,Kentucky,North Carolina
3341599,Alabama,Houston,Houston
1811363,UConn,Kentucky,Kentucky
1862001,Arizona,Tennessee,Arizona
1270328,UConn,Marquette,UConn
2075338,Arizona,Houston,Arizona
804780,North Carolina,Houston,Houston
748395,Iowa St.,Houston,Houston
239253,Arizona,Tennessee,Arizona
809233,Illinois,Purdue,Purdue
3100129,Arizona,Purdue,Purdue
2178175,North Carolina,Marquette,North Carolina
286795,Arizona,Houston,Houston
3221026,UConn,Houston,UConn
1122893,Illinois,Tennessee,Illinois
3335683,UConn,Houston,UConn
427301,Arizona,Kentucky,Arizona
2995433,UConn,Houston,UConn
1294198,UConn,Houston,UConn
19242,UConn,Purdue,UConn
2647957,UConn,Houston,UConn
257033,UConn,Kentucky,UConn
1695418,UConn,Purdue,UConn
2380958,UConn,Marquette,UConn
2178972,Iowa St.,Houston,Houston
2328324,UConn,Kentucky,Kentucky
3627624,San Diego St.,Kentucky,Kentucky
2010825,North Carolina,Purdue,Purdue
1179357,Arizona,Houston,Houston
2900765,UConn,Purdue,UConn
407372,North Carolina,Houston,Houston
2556008,UAB,Gonzaga,UAB
1317865,Auburn,Houston,Houston
3229607,UConn,Houston,UConn
1371298,UConn,Purdue,UConn
703751,Auburn,Houston,Houston
3139361,UConn,Houston,UConn
2100620,UConn,Tennessee,UConn
787345,UConn,Tennessee,UConn
1460980,UConn,Texas,UConn
2140436,North Carolina,Houston,North Carolina
2519381,UConn,Houston,UConn
779800,UConn,Marquette,UConn
2400339,North Carolina,Purdue,Purdue
3263225,Arizona,Kentucky,Kentucky
3114332,North Carolina,Houston,North Carolina
1655072,UConn,Houston,UConn
3063076,UConn,Houston,UConn
1837466,UConn,Houston,UConn
1733890,Arizona,Houston,Houston
274549,Iowa St.,Houston,Houston
2651300,Michigan St.,Houston,Michigan St.
1629191,Illinois,Houston,Houston
1054266,Arizona,Purdue,Purdue
1182168,UConn,Houston,UConn
844450,UConn,Houston,UConn
170889,North Carolina,Purdue,North Carolina
2723587,UConn,Texas A&M,Texas A&M
855140,UConn,Tennessee,UConn
3242534,Arizona,Houston,Houston
1488568,Iowa St.,Houston,Houston
1385557,UConn,Houston,UConn
3300467,UConn,Houston,UConn
399388,Iowa St.,Purdue,Purdue
2912566,Iowa St.,Houston,Houston
1518627,Iowa St.,Houston,Houston
1907042,UConn,Houston,UConn
3271186,Arizona,Purdue,Purdue
3372546,UConn,Tennessee,UConn
2263976,UConn,Kentucky,Kentucky
1099818,UConn,Kentucky,UConn
2296490,Iowa St.,NC State,Iowa St.
1999839,UConn,Houston,UConn
196155,UConn,Houston,UConn
3611080,North Carolina,Houston,Houston
2423309,UConn,Tennessee,UConn
588821,UConn,Kentucky,UConn
1801317,UConn,Houston,UConn
732087,Iowa St.,Kentucky,Iowa St.
2031047,Auburn,Kentucky,Kentucky
3820127,UConn,Houston,UConn
740794,Iowa St.,Houston,Iowa St.
1050497,Iowa St.,Kentucky,Iowa St.
38722,UConn,Houston,UConn
